BIBTEXKEY; NL; PL
Leef;Hij is zo vlug als water.; On chwyta w biegu.
Leef;Ik wilde net op pad gaan.; Właśnie miałem wyruszyć w drogę.
Leef;Gele gans zelf.; Zażółć gęślą jaźń.

Een-beetje-verliefd;Weet je wat, ik ben er zat van.; Wiesz co, mam tego dosyć.
Een-beetje-verliefd;Ik verlang ernaar met je alleen te zijn.; Pragnę być z tobą sam.
Een-beetje-verliefd;Ik heb de wet aan m'n zij(-de).; Prawo mam po swojej stronie.
Een-beetje-verliefd;Dat vind ik erg leuk.; To mi się bardzo podoba.
Een-beetje-verliefd;We zitten te praten.; Gadamy sobie.
Een-beetje-verliefd;Ik krijg dit in de gaten.; Zdaję sobie sprawę z tego

Nacht;Châteauneuf-du-Pape; fr. cenione wino
Nacht;Suus en Freek; duet wykonujący "Blauwe Dag" \@ref(Blauwe-dag)
Nacht;Leo en Kate; para z filmu "Titanic"
Nacht;Kylie; amerykańska celebrytka
Nacht;Bel de Bel; właść. fr. La Belle des belles
Nacht;Crane; od Kraantje, wykonawcy piosenki 

Het-is-een-nacht;Je bent trouwens eigenlijk wel geweldig.; Nawiasem mówiąc, jesteś naprawdę świetny.
Het-is-een-nacht;Als ik niet Pools was, zou ik geen Pools kennen.; Gdybym nie był Polakiem, nie znałbym polskiego.
Het-is-een-nacht;Heb ik daarvoor een vergunning nodig?; Czy potrzebuję na to zezwolenie? 
Het-is-een-nacht;Waar kan ik meer te weten komen over ...?; Gdzie mogę dowiedzieć się więcej o...?
Het-is-een-nacht;Wanneer ...; Kiedy ........?
Het-is-een-nacht;Ik heb zin in een borrel.; Mam ochotę na drinka.
Het-is-een-nacht;De lijn is bezet. Linia jest zajęta
Het-is-een-nacht;Als ik meer tijd had, zou ik op je wachten.; Gdybym miał/a więcej czasu, poczekałbym na ciebie. 
Het-is-een-nacht;Je moeder kan echt lekker koken.; Twoja mama naprawdę potrafi dobrze gotować.
Het-is-een-nacht;Dat is veel, hè?; To dużo, prawda?
Het-is-een-nacht;Wanneer moet ik terugkomen?; Kiedy muszę wrócić?
Het-is-een-nacht;Zullen wij naar de duinen gaan?; Może pójdziemy na wydmy?

Blauwe-dag;De lucht wordt donker.; Niebo robi się ciemne.
Blauwe-dag;De lucht klaarde op.; Niebo się przejaśniło.
Blauwe-dag;De hemel is blauw; Niebo jest niebieskie.
Blauwe-dag;Zijn ziel was in het hemel; Jego dusza była w niebie.
Blauwe-dag;Ik voel me blauw.; Jestem przygnębiony.
Blauwe-dag;Weet je nog?; Czy pamiętasz?
Blauwe-dag;Laten we haar alleen laten.; Zostawmy ją w spokoju.
Blauwe-dag;Ik denk dat wij goede vrienden zouden kunnen zijn.; Myślę, że moglibyśmy być dobrymi przyjaciółmi.
Blauwe-dag;Hij kan nauwelijks lezen.; On ledwo umie czytać.
Blauwe-dag;Houd deze koffer in de gaten.; Obserwuj tę walizkę.

Dromen-zijn-bedrog;Dromen zijn bedrog.; Sen mara, Bóg wiara. [prov. za Czochralski]
Dromen-zijn-bedrog;Met een klein beetje geluk.; Przy odrobinie szczęścia.
Dromen-zijn-bedrog;De deur gaat niet open, hij klemt.; Drzwi się nie otwierają, są zablokowane.
Dromen-zijn-bedrog;Kom met me mee.; Chodź razem ze mną.
Dromen-zijn-bedrog;Als ik vragen mag.; Jeśli wolno spytać.
Dromen-zijn-bedrog;Ik reik mijn hand naar je uit.; Wyciągam rękę do ciebie.
Dromen-zijn-bedrog;De narcissen kwamen uit.; Wypuściły żonkile.
Dromen-zijn-bedrog;Een keer in de zoveel tijd.;  Raz na jakiś czas.
Dromen-zijn-bedrog;Mag ik even binnenkomen?; Czy mogę na chwilę wejść?
Dromen-zijn-bedrog;Ik blijf in slaap vallen.; Ciągle zasypiam.
Dromen-zijn-bedrog;Wat heb je vannacht gedroomd?; Co ci się śniło dzisiaj w nocy?
Dromen-zijn-bedrog;Waar droom je over?; O czym marzysz?

Ik-kan-het-niet-alleen;Hij eet met lange tanden.; On je niechętnie.
Ik-kan-het-niet-alleen;Beter laat dan nooit.; Lepiej późno niż wcale.
Ik-kan-het-niet-alleen;We kunnen er niet omheen dat ...; Nie możemy omijać faktu, że ...

O-o-Den-Haag;Ik heb zin in een borrel.; Mam ochotę na drinka. 
O-o-Den-Haag;Nog een keer!; Jeszcze raz!
O-o-Den-Haag;Je bent trouwens eigenlijk wel geweldig.; Nawiasem mówiąc, jesteś naprawdę świetny.
O-o-Den-Haag;Als ik niet Pools was, zou ik geen Pools kennen.; Gdybym nie był Polakiem, nie znałbym polskiego.
O-o-Den-Haag;Heb ik daarvoor een vergunning nodig?; Czy potrzebuję na to zezwolenie? 
O-o-Den-Haag;Waar kan ik meer te weten komen over ...?; Gdzie mogę dowiedzieć się więcej o...?
O-o-Den-Haag;Dat is veel, hè?; To dużo, co?
O-o-Den-Haag;Wanneer moet ik terugkomen?; Kiedy muszę wrócić?
O-o-Den-Haag;Zullen wij naar de duinen gaan?; Może pójdziemy na wydmy?
O-o-Den-Haag;De lijn is bezet.; Linia jest zajęta
O-o-Den-Haag;Als ik meer tijd had, zou ik op je wachten.; Gdybym miał/a więcej czasu, poczekałbym na ciebie. 
O-o-Den-Haag;Je moeder kan echt lekker koken.; Twoja mama naprawdę potrafi dobrze gotować.

Avond;Doe het licht maar uit.; Po prostu wyłącz światło.
Avond;Ik wil je nooit meer zien.; Nie chcę cię nigdy więcej widzieć.
Avond;Ze liepen hand in hand.; Szli trzymając się za ręce.
Avond;Die jongen toonde geen angst.; Ten chłopiec nie okazywał strachu.
Avond;Het is te hopen dat ...; Należy mieć nadzieją, że ...
Avond;De vlam zweeft vaak net boven het hout.; Płomień unosi się często tuż nad drewnem.
Avond;Ga Maria wakker maken.; Idź obudź Marię
Avond;Ik sta op het punt uit te gaan.; Zaraz wychodzę.
Avond;De geur van lelies vulde de kamer.; Zapach lilii wypełnił pokój.
Avond;De glans wordt gemeten volgens ISO 2813.; Połysk mierzy się zgodnie z ISO 2813.
Avond;Ik zie je wel bij de auto.; Do zobaczenia w aucie.

Papa;Ik zie een kleine glimlach om haar mond trekken.;
Papa;Ik krijg slaap.; Chce mi się spać.
Papa;Ik krijg 
Papa;Niet alles is voor geld te koop.; Nie wszystko można kupić za pieniądze.
Papa;Ik lijk op mijn moeder.; Wyglądam jak moja matka.
Papa;Inmiddels ervaren steeds meer mensen de nadelen.; Tymczasem coraz więcej osób doznaje szkód.
Papa;Ik kom thuis tegen zes uur.; Będę w domu przed szóstą.
Papa;Hij zwerft al maanden door Europa.; Od miesięcy wędruje po Europie.
Papa;Zij liggen te praten.; Oni rozmawiają leżąc.
Papa;Dat ligt mij niet.; To mi nie leży.
Papa;Eén die weldra op aller lippen zal liggen.; Ten, który wkrótce będzie na ustach wszystkich.

Orenmens;Wie is daar?; Kto tam?
Orenmens;Praat met mij.; Porozmawiaj ze mną.
Orenmens;Je praat teveel.; Za dużo mówisz.
Orenmens;Kan jij boter van margarine onderscheiden?
Orenmens;Ik hoor mijn paard galopperen op de grond.;Słyszę, jak mój koń galopuje na ziemię

Het-land-van;Pim Fortuyn (Nederlandse politicus) en Theo van Gogh (filmregisseur) en hun respectievelijke moordenaars Volkert van der G. en Mohammed B.; Pim Fortuyn (holenderski polityk) i Theo van Gogh (reżyser) i odpowiednio ich mordercy Volkert van der G. i Mohammed B.
Het-land-van;Doorzwemmen tot je aan je grens zit.; Płyń, aż osiągniesz swój limit.
Het-land-van;Mijn vader gaat een wandeling maken in het park.; Mój ojciec idzie na spacer po parku.
Het-land-van;Het rood-wit-blauw van de vlag van Nederland.; Kolory czerwono, biały i niebieski na fladze Holandii.
Het-land-van;De gouden leeuw van het wapen van het Koninkrijk der Nederlanden.; Złoty lew z herbu Królestwa Niderlandów.
Het-land-van;Lange Frans en Baas B schreef dit nummer.; Lange Frans, Baas B schreef dit nummer.
Het-land-van;Jan Peter Balkenende is de voormalige premier van Nederland.; Jan Peter Balkenende jest byłym premierem Holandii.
Het-land-van;Het maakt niet uit.; To nie ma znaczenia.
Het-land-van;Dit hele ding is gewoon helemaal gek.; Cała ta sprawa jest po prostu zupełnie szalona.
Het-land-van;Hij zal morgen toch wel weer gaan drinken.; W każdym razie jutro będzie pił znowu.
Het-land-van;''Ajax'' en ''Feyenoord'' zijn Nederlandse profvoetbalclubs, terwijl ''Oranje'' het Nederlands voetbalelftal is.; „Ajax” i „Feyenoord” to holenderskie profesjonalne kluby piłkarskie, a „Oranje” to holenderska drużyna narodowa.
Het-land-van;Ze horen bij mij.; Oni są ze mną.
Het-land-van;Bekende Nederlandse voetballers zijn Johan Cruijff (met rugnummer 14) en Abe Lenstra.; Znani holenderscy piłkarze to Johan Cruijff (z koszulką nr 14) i Abe Lenstra.
Het-land-van;Piet Paulusma is een Nederlandse weerman.; Piet Paulusma to holenderski prezenter pogody.
Het-land-van;Ik haat je nog steeds.; Nadal cię nienawidzę.
Het-land-van;André Hazes was een populaire Nederlandse zanger.; André Hazes był popularnym holenderskim piosenkarzem. \@ref(Een-beetje-verliefd)
Het-land-van;Peter, Gert-Jan, Raymond, Junte, Frans, Bart en Ali zijn de namen van Nederlandse rappers: Delic, Brainpower, Kid Ray, Sticky Steez, Lange Frans, Baas B en Ali B.; Peter, Gert-Jan, Raymond, Junte, Frans, Bart i Ali to imiona holenderskich raperów: Delic, Brainpower, Kid Ray, Sticky Steez, Lange Frans, Baas B i Ali B.
Het-land-van;Invullen in hoofdletters; Wpisz wielkimi literami. 
Het-land-van;Ik heb/ben mijn portemonnee verloren.; Zgubiłem portfel.
Het-land-van;Ik ben bedrogen door jou,; Zostałem przez ciebie oszukany.
Het-land-van;Het heeft geen zin om zo'n smoes te gebruiken.; Nie ma sensu używać takiej wymówki.
Het-land-van:Niets gebeurt zoals men zou willen.; Nic nie wychodzi jakby się chciało.
Het-land-van;Ik had veel te veel gedronken.; Wypiłem dużo za dużo.
Het-land-van;Moet ze haar emoties dan opkroppen?; Czy powinna zatem zebrać swoje emocje?
Het-land-van;J. C. M. van Riemsdijk (Nederlandse muzikant en schrijver) is een authentiek personage uit de Harry Potter-films.;J. C. M. van Riemsdijk (holenderski muzyk i pisarz) to autentyczna postać z filmów o Harrym Potterze.

Hij-is-van-mij;Kan ik je wat water geven?; Czy mogę ci podać trochę wody?
Hij-is-van-mij;Ik voel me gevleid.; Schlebiasz mi.
Hij-is-van-mij;Ik voel me moe.; Czuję się zmęczony.
Hij-is-van-mij;Ik wil met je meegaan.; Chcę iść z tobą.
Hij-is-van-mij;Ik ben in de war.; Gubię się.
Hij-is-van-mij;Thibaut Nicolas Marc Courtois, belgijski bramkarz; przetłumacz

Het-dorp;Weet je nog?; Czy pamiętasz?
Het-dorp;Ik weet het nog niet.; Nadal nie wiem.
Het-dorp;Ik zou graag naar Polen gaan.; Chciałbym pojechać do Polski.
Het-dorp;Zij gaan totaal voorbij aan het risico.; Całkowicie ignorują ryzyko.
Het-dorp;Ik heb nog niet gegeten.; Jeszcze nic nie jadłem.
Het-dorp;Mien is een vorm van Wilhelmina.; Mien jest formą Wilhelminy.

Mag-ik-dan-bij-jou;Mogen we bij jou overnachten?; Czy możemy u ciebie przenocować?
Mag-ik-dan-bij-jou;De spullen moeten wel aan één regel voldoen.; Przedmioty muszą być zgodne z jedną zasadą.
Mag-ik-dan-bij-jou;Dat is jouw thuis, daar en nergens anders.; To jest twój dom, tam i nigdzie indziej.
Mag-ik-dan-bij-jou;Als je niets te zeggen hebt, zeg dan niets.; Jeśli nie masz nic do powiedzenia, nie mów nic.

Pastorale;Wie zwijgt, stemt toe.; Milczenie oznacza zgodę.
Pastorale;Alsjeblieft, ik wil liever alleen zijn.;Proszę, wolę być sam.
Pastorale;Ik heb je lief, ik heb je kinderen lief en je kinderen houden van jou! Kocham cię, kocham twoje dzieci, a twoje dzieci kochają ciebie.
Pastorale;Hij houdt mij niet bij jou vandaan.; Nie zatrzyma mnie z dala od ciebie.
