"BIBTEXKEY"; "CHAPTERKEY"; "CATEGORY"; "AUTHOR"; "ARTIST"; "TITLE"; "TITLE.PL"; "YEAR"; "NOTE"; "URL"

Vijftien-miljoen-mensen;Do-narodu;Manual;Jochem Fluitsma and Eric van Tijn and Frank Pels;Fluitsma & Van Tijn;15 Miljoen Mensen;15 Milionów Ludzi;1996; "NOTE";https://youtu.be/iOxYmMNOE-o

Avond;Klasyka;Manual;Boudewijn de Groot and Lennaert Nijgh;Boudewijn de Groot;Avond;Wieczór;1997;to piosenka uznawana przez Holendrów za najlepszą niderlandzkojęzyczną piosenkę wszechczasóW;https://youtu.be/ptGJ8wzeGDE

Blauwe-dag;Klasyka;Manual;Suzan Stortelder and Arno Krabman and Freek Rikkerink and Koen Jansen;Suzan & Freek;Blauwe Dag;Gorszy Dzień;2019; ........ ;https://youtu.be/keYF1D0LVQk

Brabant;Klasyka;Manual;Guus Meeuwis and Jan Willem Rozenboom;Guus Meeuwis;Brabant;Brabancja;2003;to nieoficjalny hymn Brabancji Północnej, który powstał w Moskwie;https://youtu.be/YaIzl1Tz-so

Dromen-zijn-bedrog;Klasyka;Manual;Maurizio Fabrizio and Riccardo Fogli and Guido Morra and Han Kooreneef and Leo Driessen;Marco Borsato;Dromen zijn bedrog;Sny są ulotne;1994;jest uważana za jeden z najbardziej udanych singli w języku niderlandzkim wszech czasów;https://youtu.be/CuA2U9iU6lQ

Duurt-te-lang;Klasyka;Manual;Glen Faria and Morien van der Tang;Davina Michelle;Duurt Te Lang;To trwa zbyt długo;2018;to numer, który czekał 5 lat na nowego wykonawcę i stanie się hitem;https://youtu.be/n_j1clPqEvg

Een-beetje-verliefd;Klasyka;Manual;Aart Mol and Geertjan Hessing and Cornelis R. Bergman and Elmer F. Veerhoff and Erwin v. Prehn and André G. Hazes;André Hazes;Een beetje verliefd;Trochę zakochany;1981;to piosenka o niespełnionej miłości Rozpoczyna się w scenerii podobnej do tej z piosenki \@ref(Leef) wykonanej przez syna André Hazes jr;https://youtu.be/3kufNNxyACg

Het-dorp;Klasyka;Manual;Jean Ferrat and Hugo Verhage;Wim Sonneveld;Het dorp;Wieś;1974;to wspomnienia autora tekstu o utraconym dzieciństwie. Hugo Verhage to naprawdę Friso Wiegersma. Z wykonawcą piosenki Wimem Sonneveld byli w związku. ;https://youtu.be/C8Ff5OEUzd8

Het-is-een-nacht;Klasyka;Manual;Guus Meeuwis;Guus Meeuwis;Het is een nacht;Jest taka noc;1995;powstała po romantycznym weekendzie, jaki spędził autor ze swoją dziewczyną Valérie Gregoire w Brugii;https://youtu.be/BMqZIFVYUXw

Het-land-van;Do-narodu;Manual;Lange Frans and Baas B and Giorgio Tuinfort;Lange Frans & Baas B.;Het land van...;Kraj pochodzenia;2005;to gniewna litania z wadami i zaletami życia w Holandii. Osobiście zabrakło mi tylko sera, małżeństw jednopłciowych, wiatraków i ... Polaków;https://youtu.be/yayMuZxlttc

Hij-is-van-mij;Do-tanca;Manual;Jordy Huisman and Sander Huisman and Yuki Kempees and Maan de Steenwinkel and Tabitha Foen-a-foe and Leonardo Roelandschap and Bas van Daalen and Robin Francesco and Joren van der Voort;Kris Kross Amsterdam & Maan & Tabitha ft. Bizzey ;Hij is van mij;On jest mój;2018;to luźny cover `The Boy Is Mine' amerykańskiego duetu Brenda i Monica. W 2019 roku był najlepiej sprzedającym się singlem w Holandii;https://youtu.be/EYhLEHE1vfQ

Ik-kan-het-niet-alleen;Klasyka;Manual;Nico Arzbach and Antonie Broek and Huub van der Lubbe;De Dijk;Ik kan het niet alleen;Ja tak nie mogę sam;1989;to jedna z najbardziej znanych piosenek De Dijk do dziś odtwarzana przez wiele stacji radiowych w Holandii.;https://youtu.be/ltSsojzp90M

Ik-voel-me-zo-verdomd-alleen;Klasyka;Manual;Karin Loomans and Herman van Veen;Danny De Munk;Ik Voel Me Zo Verdomd Alleen;Czuję się tak cholernie samotny;1984;pochodzi z filmu `Ciske de Rat' opartego na książkach Piet Bakkera. Danny De Munk zagrał w nim i wykonał tytułową piosenką;https://youtu.be/G-JcK8MbWFw

La-vie-est-belle;Klasyka;Manual;Koen Jansen;Diggy Dex ft. DJ Vali;La vie est belle;Życie jest piękne;2018; ... . Koen Jansen (Diggy Dex) napisał również tekst do piosenki \@ref(Leef);https://youtu.be/DLTq19bhO28

